,Car_Name,Company,Year,Kms_Driven,Fuel_Type,Price
207, Maruti Suzuki Wagon,Maruti,2010,54870,Petrol,145000
208, Maruti Suzuki Alto,Maruti,2010,34580,Petrol,135000
209, Volkswagen Passat Diesel,Volkswagen,2009,97000,Diesel,450000
210, Renault Scala RxL,Renault,2015,25000,Diesel,375000
211, Mahindra Quanto C8,Mahindra,2013,20000,Diesel,375000
212, Hyundai Grand i10,Hyundai,2014,20000,Petrol,365000
213, Hyundai i20 Active,Hyundai,2015,18000,Petrol,500000
214, Mahindra Xylo E4,Mahindra,2012,35000,Diesel,400000
215, Mahindra Jeep MM,Mahindra,2019,60,Diesel,390000
216, Renault Duster 110PS,Renault,2012,35000,Diesel,501000
217, Mahindra Bolero SLE,Mahindra,2013,80200,Diesel,330000
218, Force Motors Force,Force,2015,3200,Diesel,580000
219, Maruti Suzuki SX4,Maruti,2012,46000,Diesel,265000
220, Mahindra Jeep CL550,Mahindra,2019,0,Diesel,379000
221, Maruti Suzuki Alto,Maruti,2015,5000,Petrol,219000
222, Mahindra Jeep CL550,Mahindra,2018,588,Diesel,385000
223, Toyota Etios,Toyota,2011,36000,Diesel,275000
224, Volkswagen Polo,Volkswagen,2015,38000,Diesel,330000
225, Honda City ZX,Honda,2008,45000,Petrol,110000
226, Maruti Suzuki Wagon,Maruti,2006,71200,Petrol,80000
227, Honda City VX,Honda,2016,52000,Diesel,519000
228, Mahindra Thar CRDe,Mahindra,2016,29000,Diesel,730000
229, Mitsubishi Pajero Sport,Mitsubishi,2015,47000,Diesel,1475000
230, Audi A4 1.8,Audi,2009,47000,Petrol,699000
231, Mercedes Benz GLA,Mercedes,2015,20000,Diesel,2000000
232, Land Rover Freelander,Land,2015,30000,Diesel,2100000
233, Renault Kwid RXT,Renault,2017,5000,Petrol,340000
234, Tata Aria Pleasure,Tata,2014,35000,Diesel,390000
235, Mercedes Benz B,Mercedes,2014,31000,Petrol,1400000
236, Datsun GO T,Datsun,2016,7000,Petrol,245000
237, Tata Indigo eCS,Tata,2016,175430,Diesel,320000
238, Tata Indigo eCS,Tata,2016,175400,Diesel,320000
239, Honda Jazz VX,Honda,2016,41000,Petrol,450000
240, Honda Amaze 1.2,Honda,2014,33000,Petrol,311000
241, Honda Amaze,Honda,2013,46000,Diesel,284999
242, Honda City,Honda,2012,45000,Petrol,399999
243, Honda City,Honda,2015,39000,Diesel,599999
244, Honda Amaze,Honda,2015,22000,Petrol,344999
245, Audi A4 1.8,Audi,2009,47000,Petrol,699000
246, Force Motors Force,Force,2015,3200,Diesel,580000
247, Mahindra Scorpio S4,Mahindra,2015,30000,Diesel,855000
248, Hyundai i20 Active,Hyundai,2015,37000,Diesel,535000
249, Mini Cooper S,Mini,2013,13000,Petrol,1891111
250, Maruti Suzuki Ciaz,Maruti,2017,14000,Petrol,699000
251, Chevrolet Tavera Neo,Chevrolet,2013,55000,Diesel,375000
252, Honda Amaze,Honda,2013,46000,Diesel,284999
253, Hyundai Eon Sportz,Hyundai,2012,30000,Petrol,178000
254, Tata Sumo Gold,Tata,2013,50000,Diesel,300000
255, Maruti Suzuki Wagon,Maruti,2003,45000,Petrol,90000
256, Maruti Suzuki Esteem,Maruti,2006,45000,Petrol,95000
257, Maruti Suzuki Eeco,Maruti,2015,9300,Petrol,255000
258, Chevrolet Enjoy 1.4,Chevrolet,2013,55000,Diesel,245000
259, Hyundai i20 Asta,Hyundai,2012,36200,Diesel,329500
260, Ford Figo Diesel,Ford,2014,50000,Diesel,195000
261, Maruti Suzuki Eeco,Maruti,2015,55000,Petrol,251111
262, Maruti Suzuki Ertiga,Maruti,2014,45000,Petrol,569999
263, Maruti Suzuki Esteem,Maruti,2007,51000,Petrol,69999
264, Maruti Suzuki Ritz,Maruti,2014,19000,Petrol,299999
265, Maruti Suzuki Dzire,Maruti,2009,46000,Petrol,220000
266, Maruti Suzuki Ritz,Maruti,2013,33000,Diesel,399999
267, Maruti Suzuki SX4,Maruti,2010,36000,Petrol,249999
268, Maruti Suzuki Wagon,Maruti,2015,22000,Petrol,289999
269, Mini Cooper S,Mini,2013,13500,Petrol,1891111
270, Nissan Terrano XL,Nissan,2015,60000,Diesel,499999
271, Renault Duster 85,Renault,2013,27000,Diesel,489999
272, Renault Duster 85,Renault,2014,59000,Diesel,489999
273, Renault Duster 85,Renault,2015,19000,Diesel,549999
274, Maruti Suzuki Dzire,Maruti,2013,30000,Petrol,380000
275, Renault Kwid RXT,Renault,2018,15000,Petrol,325000
276, Maruti Suzuki Maruti,Maruti,2003,56758,Petrol,57000
277, Renault Kwid 1.0,Renault,2018,10000,Petrol,349999
278, Renault Lodgy 85,Renault,2018,20000,Diesel,689999
279, Renault Scala RxL,Renault,2014,49000,Diesel,349999
280, Hyundai Grand i10,Hyundai,2014,41000,Petrol,410000
281, Maruti Suzuki Swift,Maruti,2011,45000,Petrol,225000
282, Chevrolet Beat LS,Chevrolet,2010,43000,Petrol,120000
283, Tata Indigo eCS,Tata,2016,175430,Diesel,320000
284, Hyundai Santro Xing,Hyundai,2000,56450,Petrol,59000
285, Hyundai Fluidic Verna,Hyundai,2015,38000,Diesel,540000
287, Chevrolet Beat LS,Chevrolet,2010,56000,Petrol,80000
288, Mahindra Quanto C8,Mahindra,2013,37000,Diesel,340000
289, Fiat Petra ELX,Fiat,2008,65000,Petrol,75000
290, Chevrolet Beat LS,Chevrolet,2015,32700,Petrol,220000
291, Skoda Fabia 1.2L,Skoda,2011,38200,Diesel,159500
292, Ford EcoSport Titanium,Ford,2016,30000,Diesel,599000
293, Hyundai Accent GLX,Hyundai,2006,56000,Petrol,80000
296, Mahindra TUV300 T4,Mahindra,2016,9000,Diesel,675000
297, Mini Cooper S,Mini,2013,13000,Petrol,1891111
298, Mini Cooper S,Mini,2013,13000,Petrol,1891111
299, Tata Indica V2,Tata,2008,11000,Petrol,150000
300, Mini Cooper S,Mini,2013,13000,Petrol,1891111
301, Tata Indigo CS,Tata,2009,46000,Diesel,72500
302, Maruti Suzuki Swift,Maruti,2019,73,Petrol,610000
303, Mahindra Scorpio VLX,Mahindra,2004,160000,Diesel,230000
305, Honda Accord,Honda,2009,58559,Petrol,175000
306, Mahindra Scorpio S4,Mahindra,2015,30000,Diesel,855000
307, Chevrolet Tavera Neo,Chevrolet,2013,55000,Diesel,375000
308, Ford EcoSport Titanium,Ford,2014,57000,Diesel,520000
309, Maruti Suzuki Ertiga,Maruti,2015,50000,Diesel,524999
310, Honda Amaze,Honda,2014,37000,Petrol,299999
311, Maruti Suzuki Dzire,Maruti,2012,40000,Petrol,299999
312, Honda City,Honda,2011,55000,Petrol,284999
313, Mahindra Scorpio 2.6,Mahindra,2007,170000,Diesel,220000
314, Maruti Suzuki Dzire,Maruti,2014,55000,Diesel,424999
315, Honda City,Honda,2015,39000,Petrol,644999
316, Honda Mobilio,Honda,2014,44000,Petrol,399999
317, Toyota Corolla Altis,Toyota,2009,65000,Petrol,199999
318, Honda City,Honda,2014,39000,Petrol,584999
319, Skoda Laura,Skoda,2012,44000,Diesel,349999
320, Renault Duster,Renault,2015,49000,Diesel,449999
321, Maruti Suzuki Ertiga,Maruti,2018,9000,Diesel,799999
322, Maruti Suzuki Dzire,Maruti,2015,45000,Diesel,444999
323, Mahindra XUV500,Mahindra,2014,47000,Diesel,649999
324, Hyundai Verna Fluidic,Hyundai,2012,40000,Diesel,444999
325, Maruti Suzuki Vitara,Maruti,2016,29000,Diesel,689999
326, Maruti Suzuki Wagon,Maruti,2016,15000,Petrol,344999
327, Mahindra Scorpio,Mahindra,2015,45000,Diesel,944999
328, Honda Amaze,Honda,2014,35000,Petrol,274999
329, Mahindra XUV500,Mahindra,2013,80000,Diesel,689999
330, Mahindra Scorpio,Mahindra,2013,68000,Diesel,574999
331, Skoda Laura,Skoda,2013,50000,Diesel,374999
332, Volkswagen Polo,Volkswagen,2010,60000,Diesel,199999
333, Hyundai Elite i20,Hyundai,2016,9000,Petrol,549999
334, Tata Manza Aura,Tata,2012,72000,Diesel,130000
335, Chevrolet Sail UVA,Chevrolet,2013,60000,Petrol,210000
336, Renault Duster 110,Renault,2012,38000,Diesel,501000
337, Hyundai Verna Fluidic,Hyundai,2013,45000,Diesel,401000
338, Audi A4 2.0,Audi,2012,40000,Diesel,1350000
339, Hyundai Elantra SX,Hyundai,2013,20000,Petrol,600000
340, Mahindra Scorpio VLX,Mahindra,2013,35000,Diesel,610000
341, Mahindra KUV100 K8,Mahindra,2016,20000,Diesel,400000
342, Renault Scala RxL,Renault,2015,25000,Diesel,375000
343, Mahindra Quanto C8,Mahindra,2013,20000,Diesel,375000
344, Hyundai Grand i10,Hyundai,2014,20000,Petrol,365000
345, Hyundai i20 Active,Hyundai,2015,18000,Petrol,500000
346, Mahindra Xylo E4,Mahindra,2012,35000,Diesel,400000
347, Hyundai Grand i10,Hyundai,2017,6821,Petrol,524999
348, Hyundai i20,Hyundai,2014,23000,Petrol,449999
349, Hyundai Eon,Hyundai,2014,14000,Petrol,174999
350, Hyundai i10,Hyundai,2012,38000,Petrol,244999
351, Hyundai i20 Active,Hyundai,2015,35000,Diesel,574999
352, Datsun Redi GO,Datsun,2017,22000,Petrol,244999
353, Toyota Etios Liva,Toyota,2011,41000,Petrol,239999
354, Hyundai Accent,Hyundai,2010,45000,Petrol,99999
355, Hyundai Verna,Hyundai,2014,44000,Diesel,489999
356, Maruti Suzuki Swift,Maruti,2013,45000,Diesel,324999
357, Toyota Fortuner,Toyota,2011,52000,Diesel,1074999
358, Hyundai i10 Sportz,Hyundai,2012,34000,Petrol,230000
359, Mahindra Bolero Power,Mahindra,2018,1800,Diesel,699000
361, Mahindra XUV500,Mahindra,2015,15000,Diesel,1000000
362, Honda City 1.5,Honda,2010,400000,Petrol,240000
363, Chevrolet Spark LT,Chevrolet,2009,44000,Petrol,110000
364, Mahindra Jeep MM,Mahindra,2019,60,Diesel,390000
365, Renault Duster 110PS,Renault,2012,35000,Diesel,501000
366, Mahindra XUV500,Mahindra,2016,72000,Diesel,1130000
367, Tata Indigo eCS,Tata,2014,40000,Diesel,250000
369, Mahindra Bolero SLE,Mahindra,2013,80200,Diesel,330000
370, Force Motors Force,Force,2015,3200,Diesel,580000
371, Skoda Rapid Elegance,Skoda,2013,48000,Diesel,340000
372, Tata Vista Quadrajet,Tata,2011,90000,Diesel,120000
373, Maruti Suzuki Alto,Maruti,2015,12000,Petrol,265000
374, Maruti Suzuki SX4,Maruti,2012,46000,Diesel,265000
375, Maruti Suzuki Zen,Maruti,2003,69900,Petrol,85000
376, Mahindra Jeep CL550,Mahindra,2019,0,Diesel,379000
377, Hyundai i10 Magna,Hyundai,2011,45000,Petrol,175000
378, Maruti Suzuki Alto,Maruti,2015,5000,Petrol,219000
379, Maruti Suzuki Swift,Maruti,2016,166000,Diesel,350000
380, Honda City ZX,Honda,2008,42000,Petrol,149000
381, Mahindra Jeep CL550,Mahindra,2018,588,Diesel,385000
382, Mahindra Jeep MM,Mahindra,2006,122,Diesel,425000
383, Chevrolet Beat Diesel,Chevrolet,2017,62000,Diesel,150000
384, Honda City 1.5,Honda,2010,70000,Petrol,225000
386, Hyundai Verna 1.4,Hyundai,2014,36000,Petrol,375000
387, Toyota Innova 2.5,Toyota,2012,0,Diesel,770000
389, Maruti Suzuki Maruti,Maruti,1995,55000,Petrol,30000
390, Toyota Etios,Toyota,2011,36000,Diesel,275000
391, Volkswagen Polo,Volkswagen,2015,38000,Diesel,330000
392, Maruti Suzuki Swift,Maruti,2014,55000,Diesel,335000
393, Hyundai Elite i20,Hyundai,2015,20000,Diesel,450000
394, Maruti Suzuki Swift,Maruti,2012,40000,Petrol,225000
396, Maruti Suzuki Versa,Maruti,2004,50000,Petrol,80000
397, Tata Indigo LX,Tata,2016,104000,Diesel,130000
398, Volkswagen Vento Konekt,Volkswagen,2011,65000,Diesel,245000
399, Mercedes Benz C,Mercedes,2002,41000,Petrol,399000
400, Maruti Suzuki Ertiga,Maruti,2013,90000,Diesel,450000
402, Honda City,Honda,2000,80000,Petrol,65000
403, Hyundai Santro Xing,Hyundai,2006,46000,Petrol,75000
404, Maruti Suzuki Omni,Maruti,2001,70000,Petrol,70000
405, Hyundai Sonata Transform,Hyundai,2017,36469,Diesel,190000
406, Hyundai Elite i20,Hyundai,2018,7800,Petrol,600000
407, Volkswagen Vento Konekt,Volkswagen,2011,65000,Diesel,245000
408, Maruti Suzuki Alto,Maruti,2017,60000,Petrol,240000
409, Maruti Suzuki Alto,Maruti,2011,32000,Petrol,155000
410, Honda Jazz S,Honda,2009,24695,Petrol,169999
411, Hyundai Grand i10,Hyundai,2017,15141,Petrol,450000
412, Maruti Suzuki Zen,Maruti,2001,40000,Petrol,40000
413, Mahindra Scorpio W,Mahindra,2012,65000,Diesel,165000
415, Maruti Suzuki Alto,Maruti,2014,22000,Petrol,270000
416, Hyundai Grand i10,Hyundai,2016,59910,Diesel,280000
417, Mahindra XUV500 W8,Mahindra,2012,100000,Diesel,560000
418, Hyundai Creta 1.6,Hyundai,2016,25000,Petrol,950000
419, Hyundai i20 Magna,Hyundai,2013,35000,Petrol,310000
420, Renault Duster 85,Renault,2015,65000,Diesel,715000
421, Hyundai Grand i10,Hyundai,2014,35000,Petrol,340000
422, Honda Brio V,Honda,2012,33000,Petrol,235000
423, Mahindra TUV300 T4,Mahindra,2017,68000,Diesel,610000
424, Chevrolet Spark LS,Chevrolet,2010,23000,Petrol,95000
425, Mahindra TUV300 T8,Mahindra,2018,4500,Diesel,1000000
426, Maruti Suzuki Swift,Maruti,2015,129000,Diesel,220000
427, Nissan X Trail,Nissan,2019,300,Diesel,1200000
428, Maruti Suzuki Alto,Maruti,2015,5000,Petrol,230000
429, Ford Ikon 1.3,Ford,2001,65000,Petrol,45000
430, Toyota Fortuner 3.0,Toyota,2010,131000,Diesel,940000
431, Tata Manza ELAN,Tata,2010,111111,Petrol,155555
434, Mercedes Benz A,Mercedes,2013,14000,Petrol,1500000
435, Chevrolet Beat LS,Chevrolet,2016,22000,Diesel,210000
436, Ford EcoSport Trend,Ford,2013,38000,Diesel,495000
437, Tata Indigo LS,Tata,2016,70000,Diesel,125000
438, Hyundai i20 Magna,Hyundai,2010,36000,Petrol,195000
439, Volkswagen Vento Highline,Volkswagen,2015,34000,Diesel,550000
440, Renault Kwid RXT,Renault,2015,43000,Petrol,270000
442, Ford EcoSport Titanium,Ford,2014,40000,Diesel,500000
443, Honda Amaze 1.5,Honda,2016,160000,Diesel,240000
444, Hyundai Verna 1.6,Hyundai,2017,12000,Petrol,800000
445, BMW 5 Series,BMW,2011,49000,Diesel,1299000
446, Skoda Superb 1.8,Skoda,2011,68000,Petrol,530000
447, Audi Q3 2.0,Audi,2013,37000,Diesel,1499000
448, Mahindra Bolero DI,Mahindra,2012,59466,Diesel,220000
